fiscal_year,year,month,JURISDICTION,trade,inspection_count
2016,2015,Dec,Pleasant Garden,Building,18
2016,2015,Dec,Pleasant Garden,Electrical,11
2016,2015,Dec,Pleasant Garden,Other,1
2016,2015,Dec,Pleasant Garden,Plumbing/Mechanical/Gas,13
2016,2015,Dec,PTIA,Building,1
2016,2015,Dec,PTIA,Electrical,1
2016,2015,Dec,PTIA,Other,2
2016,2015,Dec,PTIA,Plumbing/Mechanical/Gas,3
2016,2015,Dec,Sedalia,Building,4
2016,2015,Dec,Sedalia,Electrical,4
2016,2015,Dec,Sedalia,Other,2
2016,2015,Dec,Sedalia,Plumbing/Mechanical/Gas,1
2016,2015,Dec,Stokesdale,Building,58
2016,2015,Dec,Stokesdale,Electrical,31
2016,2015,Dec,Stokesdale,Other,3
2016,2015,Dec,Stokesdale,Plumbing/Mechanical/Gas,40
2016,2015,Dec,Summerfield,Building,62
2016,2015,Dec,Summerfield,Electrical,82
2016,2015,Dec,Summerfield,Other,15
2016,2015,Dec,Summerfield,Plumbing/Mechanical/Gas,129
2016,2015,Dec,Whitsett,Building,1
2016,2015,Dec,Whitsett,Plumbing/Mechanical/Gas,2
2016,2016,Jan,Guilford County,Building,454
2016,2016,Jan,Guilford County,Electrical,364
2016,2016,Jan,Guilford County,Other,252
2016,2016,Jan,Guilford County,Plumbing/Mechanical/Gas,540
2016,2016,Jan,Jamestown,Building,31
2016,2016,Jan,Jamestown,Electrical,24
2016,2016,Jan,Jamestown,Other,3
2016,2016,Jan,Jamestown,Plumbing/Mechanical/Gas,42
2016,2016,Jan,Oak Ridge,Building,63
2016,2016,Jan,Oak Ridge,Electrical,78
2016,2016,Jan,Oak Ridge,Other,8
2016,2016,Jan,Oak Ridge,Plumbing/Mechanical/Gas,137
2016,2016,Jan,Pleasant Garden,Building,30
2016,2016,Jan,Pleasant Garden,Electrical,23
2016,2016,Jan,Pleasant Garden,Other,4
2016,2016,Jan,Pleasant Garden,Plumbing/Mechanical/Gas,42
2016,2016,Jan,PTIA,Building,3
2016,2016,Jan,PTIA,Electrical,4
2016,2016,Jan,PTIA,Other,1
2016,2016,Jan,PTIA,Plumbing/Mechanical/Gas,3
2016,2016,Jan,Sedalia,Building,1
2016,2016,Jan,Sedalia,Electrical,4
2016,2016,Jan,Sedalia,Other,1
2016,2016,Jan,Sedalia,Plumbing/Mechanical/Gas,3
2016,2016,Jan,Stokesdale,Building,48
2016,2016,Jan,Stokesdale,Electrical,26
2016,2016,Jan,Stokesdale,Other,7
2016,2016,Jan,Stokesdale,Plumbing/Mechanical/Gas,41
2016,2016,Jan,Summerfield,Building,85
2016,2016,Jan,Summerfield,Electrical,57
2016,2016,Jan,Summerfield,Other,17
2016,2016,Jan,Summerfield,Plumbing/Mechanical/Gas,66
2016,2016,Jan,Whitsett,Electrical,1
2016,2016,Jan,Whitsett,Other,2
2016,2016,Jan,Whitsett,Plumbing/Mechanical/Gas,1
2016,2016,Feb,Guilford County,Building,490
2016,2016,Feb,Guilford County,Electrical,363
2016,2016,Feb,Guilford County,Other,299
2016,2016,Feb,Guilford County,Plumbing/Mechanical/Gas,517
2016,2016,Feb,Jamestown,Building,24
2016,2016,Feb,Jamestown,Electrical,33
2016,2016,Feb,Jamestown,Other,12
2016,2016,Feb,Jamestown,Plumbing/Mechanical/Gas,115
2016,2016,Feb,Oak Ridge,Building,88
2016,2016,Feb,Oak Ridge,Electrical,46
2016,2016,Feb,Oak Ridge,Other,10
2016,2016,Feb,Oak Ridge,Plumbing/Mechanical/Gas,103
2016,2016,Feb,Pleasant Garden,Building,28
2016,2016,Feb,Pleasant Garden,Electrical,15
2016,2016,Feb,Pleasant Garden,Other,3
2016,2016,Feb,Pleasant Garden,Plumbing/Mechanical/Gas,10
2016,2016,Feb,PTIA,Building,2
2016,2016,Feb,PTIA,Electrical,4
2016,2016,Feb,PTIA,Plumbing/Mechanical/Gas,6
2016,2016,Feb,Sedalia,Building,2
2016,2016,Feb,Sedalia,Electrical,8
2016,2016,Feb,Sedalia,Plumbing/Mechanical/Gas,2
2016,2016,Feb,Stokesdale,Building,99
2016,2016,Feb,Stokesdale,Electrical,36
2016,2016,Feb,Stokesdale,Other,1
2016,2016,Feb,Stokesdale,Plumbing/Mechanical/Gas,71
2016,2016,Feb,Summerfield,Building,87
2016,2016,Feb,Summerfield,Electrical,69
2016,2016,Feb,Summerfield,Other,13
2016,2016,Feb,Summerfield,Plumbing/Mechanical/Gas,89
2016,2016,Feb,Whitsett,Building,2
2016,2016,Feb,Whitsett,Electrical,3
2016,2016,Feb,Whitsett,Other,1
2016,2016,Feb,Whitsett,Plumbing/Mechanical/Gas,1
2016,2016,Mar,Guilford County,Building,585
2016,2016,Mar,Guilford County,Electrical,490
2016,2016,Mar,Guilford County,Other,383
2016,2016,Mar,Guilford County,Plumbing/Mechanical/Gas,633
2016,2016,Mar,Jamestown,Building,47
2016,2016,Mar,Jamestown,Electrical,25
2016,2016,Mar,Jamestown,Other,10
2016,2016,Mar,Jamestown,Plumbing/Mechanical/Gas,77
2016,2016,Mar,Oak Ridge,Building,84
2016,2016,Mar,Oak Ridge,Electrical,74
2016,2016,Mar,Oak Ridge,Other,10
2016,2016,Mar,Oak Ridge,Plumbing/Mechanical/Gas,161
2016,2016,Mar,Pleasant Garden,Building,30
2016,2016,Mar,Pleasant Garden,Electrical,17
2016,2016,Mar,Pleasant Garden,Other,1
2016,2016,Mar,Pleasant Garden,Plumbing/Mechanical/Gas,20
2016,2016,Mar,PTIA,Building,1
2016,2016,Mar,PTIA,Electrical,5
2016,2016,Mar,PTIA,Plumbing/Mechanical/Gas,10
2016,2016,Mar,Sedalia,Electrical,1
2016,2016,Mar,Sedalia,Plumbing/Mechanical/Gas,1
2016,2016,Mar,Stokesdale,Building,94
2016,2016,Mar,Stokesdale,Electrical,36
2016,2016,Mar,Stokesdale,Other,18
2016,2016,Mar,Stokesdale,Plumbing/Mechanical/Gas,71
2016,2016,Mar,Summerfield,Building,105
2016,2016,Mar,Summerfield,Electrical,93
2016,2016,Mar,Summerfield,Other,15
2016,2016,Mar,Summerfield,Plumbing/Mechanical/Gas,86
2016,2016,Mar,Whitsett,Other,5
2016,2016,Apr,Greensboro,Other,1
2016,2016,Apr,Guilford County,Building,588
2016,2016,Apr,Guilford County,Electrical,423
2016,2016,Apr,Guilford County,Other,327
2016,2016,Apr,Guilford County,Plumbing/Mechanical/Gas,543
2016,2016,Apr,Jamestown,Building,52
2016,2016,Apr,Jamestown,Electrical,33
2016,2016,Apr,Jamestown,Other,6
2016,2016,Apr,Jamestown,Plumbing/Mechanical/Gas,105
2016,2016,Apr,Oak Ridge,Building,120
2016,2016,Apr,Oak Ridge,Electrical,72
2016,2016,Apr,Oak Ridge,Other,17
2016,2016,Apr,Oak Ridge,Plumbing/Mechanical/Gas,119
2016,2016,Apr,Pleasant Garden,Building,17
2016,2016,Apr,Pleasant Garden,Electrical,12
2016,2016,Apr,Pleasant Garden,Other,2
2016,2016,Apr,Pleasant Garden,Plumbing/Mechanical/Gas,12
2016,2016,Apr,PTIA,Building,10
2016,2016,Apr,PTIA,Electrical,6
2016,2016,Apr,PTIA,Other,4
2016,2016,Apr,PTIA,Plumbing/Mechanical/Gas,5
2016,2016,Apr,Sedalia,Building,4
2016,2016,Apr,Sedalia,Electrical,2
2016,2016,Apr,Sedalia,Plumbing/Mechanical/Gas,1
2016,2016,Apr,Stokesdale,Building,98
2016,2016,Apr,Stokesdale,Electrical,56
2016,2016,Apr,Stokesdale,Other,14
2016,2016,Apr,Stokesdale,Plumbing/Mechanical/Gas,146
2016,2016,Apr,Summerfield,Building,121
2016,2016,Apr,Summerfield,Electrical,82
2016,2016,Apr,Summerfield,Other,22
2016,2016,Apr,Summerfield,Plumbing/Mechanical/Gas,113
2016,2016,Apr,Whitsett,Building,2
2016,2016,Apr,Whitsett,Electrical,4
2016,2016,Apr,Whitsett,Other,3
2016,2016,Apr,Whitsett,Plumbing/Mechanical/Gas,7
2016,2016,May,Guilford County,Building,621
2016,2016,May,Guilford County,Electrical,400
2016,2016,May,Guilford County,Other,332
2016,2016,May,Guilford County,Plumbing/Mechanical/Gas,535
2016,2016,May,Jamestown,Building,42
2016,2016,May,Jamestown,Electrical,47
2016,2016,May,Jamestown,Other,5
2016,2016,May,Jamestown,Plumbing/Mechanical/Gas,76
2016,2016,May,Oak Ridge,Building,90
2016,2016,May,Oak Ridge,Electrical,50
2016,2016,May,Oak Ridge,Other,17
2016,2016,May,Oak Ridge,Plumbing/Mechanical/Gas,90
2016,2016,May,Pleasant Garden,Building,15
2016,2016,May,Pleasant Garden,Electrical,11
2016,2016,May,Pleasant Garden,Other,2
2016,2016,May,Pleasant Garden,Plumbing/Mechanical/Gas,8
2016,2016,May,PTIA,Building,12
2016,2016,May,PTIA,Electrical,10
2016,2016,May,PTIA,Other,1
2016,2016,May,PTIA,Plumbing/Mechanical/Gas,12
2016,2016,May,Sedalia,Building,7
2016,2016,May,Sedalia,Other,1
2016,2016,May,Sedalia,Plumbing/Mechanical/Gas,1
2016,2016,May,Stokesdale,Building,92
2016,2016,May,Stokesdale,Electrical,57
2016,2016,May,Stokesdale,Other,22
2016,2016,May,Stokesdale,Plumbing/Mechanical/Gas,98
2016,2016,May,Summerfield,Building,145
2016,2016,May,Summerfield,Electrical,82
2016,2016,May,Summerfield,Other,36
2016,2016,May,Summerfield,Plumbing/Mechanical/Gas,91
2016,2016,May,Whitsett,Building,5
2016,2016,May,Whitsett,Other,1
2017,2016,Jun,Guilford County,Building,724
2017,2016,Jun,Guilford County,Electrical,438
2017,2016,Jun,Guilford County,Other,356
2017,2016,Jun,Guilford County,Plumbing/Mechanical/Gas,655
2017,2016,Jun,Jamestown,Building,16
2017,2016,Jun,Jamestown,Electrical,50
2017,2016,Jun,Jamestown,Other,8
2017,2016,Jun,Jamestown,Plumbing/Mechanical/Gas,52
2017,2016,Jun,Oak Ridge,Building,88
2017,2016,Jun,Oak Ridge,Electrical,77
2017,2016,Jun,Oak Ridge,Other,13
2017,2016,Jun,Oak Ridge,Plumbing/Mechanical/Gas,120
2017,2016,Jun,Pleasant Garden,Building,27
2017,2016,Jun,Pleasant Garden,Electrical,13
2017,2016,Jun,Pleasant Garden,Other,1
2017,2016,Jun,Pleasant Garden,Plumbing/Mechanical/Gas,19
2017,2016,Jun,PTIA,Building,11
2017,2016,Jun,PTIA,Electrical,12
2017,2016,Jun,PTIA,Other,2
2017,2016,Jun,PTIA,Plumbing/Mechanical/Gas,12
2017,2016,Jun,Stokesdale,Building,111
2017,2016,Jun,Stokesdale,Electrical,69
2017,2016,Jun,Stokesdale,Other,6
2017,2016,Jun,Stokesdale,Plumbing/Mechanical/Gas,106
2017,2016,Jun,Summerfield,Building,112
2017,2016,Jun,Summerfield,Electrical,83
2017,2016,Jun,Summerfield,Other,27
2017,2016,Jun,Summerfield,Plumbing/Mechanical/Gas,89
2017,2016,Jun,Whitsett,Building,9
2017,2016,Jun,Whitsett,Electrical,2
2017,2016,Jun,Whitsett,Plumbing/Mechanical/Gas,2
2017,2016,Jul,Guilford County,Building,647
2017,2016,Jul,Guilford County,Electrical,452
2017,2016,Jul,Guilford County,Other,275
2017,2016,Jul,Guilford County,Plumbing/Mechanical/Gas,596
2017,2016,Jul,Jamestown,Building,14
2017,2016,Jul,Jamestown,Electrical,30
2017,2016,Jul,Jamestown,Other,5
2017,2016,Jul,Jamestown,Plumbing/Mechanical/Gas,56
2017,2016,Jul,Oak Ridge,Building,102
2017,2016,Jul,Oak Ridge,Electrical,63
2017,2016,Jul,Oak Ridge,Other,8
2017,2016,Jul,Oak Ridge,Plumbing/Mechanical/Gas,97
2017,2016,Jul,Pleasant Garden,Building,18
2017,2016,Jul,Pleasant Garden,Electrical,2
2017,2016,Jul,Pleasant Garden,Other,1
2017,2016,Jul,Pleasant Garden,Plumbing/Mechanical/Gas,5
2017,2016,Jul,PTIA,Building,14
2017,2016,Jul,PTIA,Electrical,17
2017,2016,Jul,PTIA,Plumbing/Mechanical/Gas,15
2017,2016,Jul,Stokesdale,Building,75
2017,2016,Jul,Stokesdale,Electrical,71
2017,2016,Jul,Stokesdale,Other,12
2017,2016,Jul,Stokesdale,Plumbing/Mechanical/Gas,111
2017,2016,Jul,Summerfield,Building,118
2017,2016,Jul,Summerfield,Electrical,97
2017,2016,Jul,Summerfield,Other,8
2017,2016,Jul,Summerfield,Plumbing/Mechanical/Gas,114
2017,2016,Jul,Whitsett,Building,1
2017,2016,Jul,Whitsett,Electrical,5
2017,2016,Jul,Whitsett,Other,1
2017,2016,Jul,Whitsett,Plumbing/Mechanical/Gas,3
2017,2016,Aug,Greensboro,Other,2
2017,2016,Aug,Guilford County,Building,702
2017,2016,Aug,Guilford County,Electrical,575
2017,2016,Aug,Guilford County,Other,343
2017,2016,Aug,Guilford County,Plumbing/Mechanical/Gas,775
2017,2016,Aug,Jamestown,Building,27
2017,2016,Aug,Jamestown,Electrical,37
2017,2016,Aug,Jamestown,Other,9
2017,2016,Aug,Jamestown,Plumbing/Mechanical/Gas,40
2017,2016,Aug,Oak Ridge,Building,132
2017,2016,Aug,Oak Ridge,Electrical,84
2017,2016,Aug,Oak Ridge,Other,22
2017,2016,Aug,Oak Ridge,Plumbing/Mechanical/Gas,129
2017,2016,Aug,Pleasant Garden,Building,15
2017,2016,Aug,Pleasant Garden,Electrical,8
2017,2016,Aug,Pleasant Garden,Plumbing/Mechanical/Gas,11
2017,2016,Aug,PTIA,Building,7
2017,2016,Aug,PTIA,Electrical,6
2017,2016,Aug,PTIA,Other,1
2017,2016,Aug,PTIA,Plumbing/Mechanical/Gas,6
2017,2016,Aug,Sedalia,Electrical,1
2017,2016,Aug,Sedalia,Plumbing/Mechanical/Gas,1
2017,2016,Aug,Stokesdale,Building,149
2017,2016,Aug,Stokesdale,Electrical,82
2017,2016,Aug,Stokesdale,Other,14
2017,2016,Aug,Stokesdale,Plumbing/Mechanical/Gas,129
2017,2016,Aug,Summerfield,Building,131
2017,2016,Aug,Summerfield,Electrical,108
2017,2016,Aug,Summerfield,Other,16
2017,2016,Aug,Summerfield,Plumbing/Mechanical/Gas,142
2017,2016,Aug,Whitsett,Building,1
2017,2016,Aug,Whitsett,Other,2
2017,2016,Aug,Whitsett,Plumbing/Mechanical/Gas,9
2017,2016,Sep,Greensboro,Other,1
2017,2016,Sep,Guilford County,Building,651
2017,2016,Sep,Guilford County,Electrical,583
2017,2016,Sep,Guilford County,Other,297
2017,2016,Sep,Guilford County,Plumbing/Mechanical/Gas,780
2017,2016,Sep,Jamestown,Building,21
2017,2016,Sep,Jamestown,Electrical,33
2017,2016,Sep,Jamestown,Other,17
2017,2016,Sep,Jamestown,Plumbing/Mechanical/Gas,37
2017,2016,Sep,Oak Ridge,Building,132
2017,2016,Sep,Oak Ridge,Electrical,83
2017,2016,Sep,Oak Ridge,Other,10
2017,2016,Sep,Oak Ridge,Plumbing/Mechanical/Gas,138
2017,2016,Sep,Pleasant Garden,Building,26
2017,2016,Sep,Pleasant Garden,Electrical,19
2017,2016,Sep,Pleasant Garden,Other,2
2017,2016,Sep,Pleasant Garden,Plumbing/Mechanical/Gas,18
2017,2016,Sep,PTIA,Building,6
2017,2016,Sep,PTIA,Electrical,3
2017,2016,Sep,PTIA,Other,1
2017,2016,Sep,PTIA,Plumbing/Mechanical/Gas,5
2017,2016,Sep,Stokesdale,Building,98
2017,2016,Sep,Stokesdale,Electrical,43
2017,2016,Sep,Stokesdale,Other,12
2017,2016,Sep,Stokesdale,Plumbing/Mechanical/Gas,66
2017,2016,Sep,Summerfield,Building,112
2017,2016,Sep,Summerfield,Electrical,89
2017,2016,Sep,Summerfield,Other,8
2017,2016,Sep,Summerfield,Plumbing/Mechanical/Gas,113
2017,2016,Oct,Greensboro,Other,1
2017,2016,Oct,Guilford County,Building,657
2017,2016,Oct,Guilford County,Electrical,495
2017,2016,Oct,Guilford County,Other,403
2017,2016,Oct,Guilford County,Plumbing/Mechanical/Gas,695
2017,2016,Oct,Jamestown,Building,45
2017,2016,Oct,Jamestown,Electrical,18
2017,2016,Oct,Jamestown,Other,7
2017,2016,Oct,Jamestown,Plumbing/Mechanical/Gas,37
2017,2016,Oct,Oak Ridge,Building,145
2017,2016,Oct,Oak Ridge,Electrical,95
2017,2016,Oct,Oak Ridge,Other,11
2017,2016,Oct,Oak Ridge,Plumbing/Mechanical/Gas,158
2017,2016,Oct,Pleasant Garden,Building,9
2017,2016,Oct,Pleasant Garden,Electrical,7
2017,2016,Oct,Pleasant Garden,Plumbing/Mechanical/Gas,5
2017,2016,Oct,PTIA,Building,4
2017,2016,Oct,PTIA,Electrical,6
2017,2016,Oct,PTIA,Other,1
2017,2016,Oct,PTIA,Plumbing/Mechanical/Gas,7
2017,2016,Oct,Stokesdale,Building,85
2017,2016,Oct,Stokesdale,Electrical,46
2017,2016,Oct,Stokesdale,Other,20
2017,2016,Oct,Stokesdale,Plumbing/Mechanical/Gas,114
2017,2016,Oct,Summerfield,Building,119
2017,2016,Oct,Summerfield,Electrical,95
2017,2016,Oct,Summerfield,Other,25
2017,2016,Oct,Summerfield,Plumbing/Mechanical/Gas,115
2017,2016,Oct,Whitsett,Building,4
2017,2016,Oct,Whitsett,Plumbing/Mechanical/Gas,9
2017,2016,Nov,Greensboro,Other,2
2017,2016,Nov,Guilford County,Building,679
2017,2016,Nov,Guilford County,Electrical,570
2017,2016,Nov,Guilford County,Other,351
2017,2016,Nov,Guilford County,Plumbing/Mechanical/Gas,683
2017,2016,Nov,Jamestown,Building,48
2017,2016,Nov,Jamestown,Electrical,22
2017,2016,Nov,Jamestown,Other,6
2017,2016,Nov,Jamestown,Plumbing/Mechanical/Gas,40
2017,2016,Nov,Oak Ridge,Building,129
2017,2016,Nov,Oak Ridge,Electrical,98
2017,2016,Nov,Oak Ridge,Other,4
2017,2016,Nov,Oak Ridge,Plumbing/Mechanical/Gas,187
2017,2016,Nov,Pleasant Garden,Building,9
2017,2016,Nov,Pleasant Garden,Electrical,14
2017,2016,Nov,Pleasant Garden,Other,1
2017,2016,Nov,Pleasant Garden,Plumbing/Mechanical/Gas,7
2017,2016,Nov,PTIA,Building,7
2017,2016,Nov,PTIA,Electrical,7
2017,2016,Nov,PTIA,Plumbing/Mechanical/Gas,10
2017,2016,Nov,Sedalia,Building,2
2017,2016,Nov,Sedalia,Electrical,1
2017,2016,Nov,Sedalia,Other,1
2017,2016,Nov,Sedalia,Plumbing/Mechanical/Gas,2
2017,2016,Nov,Stokesdale,Building,86
2017,2016,Nov,Stokesdale,Electrical,52
2017,2016,Nov,Stokesdale,Other,7
2017,2016,Nov,Stokesdale,Plumbing/Mechanical/Gas,87
2017,2016,Nov,Summerfield,Building,138
2017,2016,Nov,Summerfield,Electrical,107
2017,2016,Nov,Summerfield,Other,15
2017,2016,Nov,Summerfield,Plumbing/Mechanical/Gas,131
2017,2016,Nov,Whitsett,Electrical,1
2017,2016,Nov,Whitsett,Other,1
2017,2016,Nov,Whitsett,Plumbing/Mechanical/Gas,4
2017,2016,Dec,Greensboro,Other,1
2017,2016,Dec,Guilford County,Building,617
2017,2016,Dec,Guilford County,Electrical,459
2017,2016,Dec,Guilford County,Other,247
2017,2016,Dec,Guilford County,Plumbing/Mechanical/Gas,591
2017,2016,Dec,Jamestown,Building,66
2017,2016,Dec,Jamestown,Electrical,35
2017,2016,Dec,Jamestown,Other,2
2017,2016,Dec,Jamestown,Plumbing/Mechanical/Gas,44
2017,2016,Dec,Oak Ridge,Building,118
2017,2016,Dec,Oak Ridge,Electrical,92
2017,2016,Dec,Oak Ridge,Other,8
2017,2016,Dec,Oak Ridge,Plumbing/Mechanical/Gas,134
2017,2016,Dec,Pleasant Garden,Building,13
2017,2016,Dec,Pleasant Garden,Electrical,13
2017,2016,Dec,Pleasant Garden,Plumbing/Mechanical/Gas,14
2017,2016,Dec,PTIA,Building,5
2017,2016,Dec,PTIA,Electrical,10
2017,2016,Dec,PTIA,Other,3
2017,2016,Dec,PTIA,Plumbing/Mechanical/Gas,18
2017,2016,Dec,Sedalia,Building,5
2017,2016,Dec,Sedalia,Electrical,2
2017,2016,Dec,Sedalia,Plumbing/Mechanical/Gas,3
2017,2016,Dec,Stokesdale,Building,57
2017,2016,Dec,Stokesdale,Electrical,33
2017,2016,Dec,Stokesdale,Plumbing/Mechanical/Gas,87
2017,2016,Dec,Summerfield,Building,92
2017,2016,Dec,Summerfield,Electrical,102
2017,2016,Dec,Summerfield,Other,14
2017,2016,Dec,Summerfield,Plumbing/Mechanical/Gas,119
2017,2016,Dec,Whitsett,Building,5
2017,2016,Dec,Whitsett,Electrical,1
2017,2016,Dec,Whitsett,Plumbing/Mechanical/Gas,2
2017,2017,Jan,Greensboro,Other,2
2017,2017,Jan,Guilford County,Building,472
2017,2017,Jan,Guilford County,Electrical,400
2017,2017,Jan,Guilford County,Other,240
2017,2017,Jan,Guilford County,Plumbing/Mechanical/Gas,486
2017,2017,Jan,Jamestown,Building,40
2017,2017,Jan,Jamestown,Electrical,23
2017,2017,Jan,Jamestown,Other,3
2017,2017,Jan,Jamestown,Plumbing/Mechanical/Gas,33
2017,2017,Jan,Oak Ridge,Building,56
2017,2017,Jan,Oak Ridge,Electrical,56
2017,2017,Jan,Oak Ridge,Other,8
2017,2017,Jan,Oak Ridge,Plumbing/Mechanical/Gas,79
2017,2017,Jan,Pleasant Garden,Building,4
2017,2017,Jan,Pleasant Garden,Electrical,5
2017,2017,Jan,Pleasant Garden,Other,3
2017,2017,Jan,Pleasant Garden,Plumbing/Mechanical/Gas,12
2017,2017,Jan,PTIA,Building,4
2017,2017,Jan,PTIA,Electrical,8
2017,2017,Jan,PTIA,Other,3
2017,2017,Jan,PTIA,Plumbing/Mechanical/Gas,6
2017,2017,Jan,Sedalia,Building,1
2017,2017,Jan,Sedalia,Electrical,2
2017,2017,Jan,Sedalia,Other,1
2017,2017,Jan,Sedalia,Plumbing/Mechanical/Gas,3
2017,2017,Jan,Stokesdale,Building,93
2017,2017,Jan,Stokesdale,Electrical,69
2017,2017,Jan,Stokesdale,Other,6
2017,2017,Jan,Stokesdale,Plumbing/Mechanical/Gas,98
2017,2017,Jan,Summerfield,Building,61
2017,2017,Jan,Summerfield,Electrical,88
2017,2017,Jan,Summerfield,Other,22
2017,2017,Jan,Summerfield,Plumbing/Mechanical/Gas,112
2017,2017,Jan,Whitsett,Building,3
2017,2017,Jan,Whitsett,Electrical,2
2017,2017,Jan,Whitsett,Plumbing/Mechanical/Gas,1
2017,2017,Feb,Guilford County,Building,561
2017,2017,Feb,Guilford County,Electrical,434
2017,2017,Feb,Guilford County,Other,324
2017,2017,Feb,Guilford County,Plumbing/Mechanical/Gas,673
2017,2017,Feb,Jamestown,Building,66
2017,2017,Feb,Jamestown,Electrical,36
2017,2017,Feb,Jamestown,Other,4
2017,2017,Feb,Jamestown,Plumbing/Mechanical/Gas,70
2017,2017,Feb,Oak Ridge,Building,113
2017,2017,Feb,Oak Ridge,Electrical,72
2017,2017,Feb,Oak Ridge,Other,10
2017,2017,Feb,Oak Ridge,Plumbing/Mechanical/Gas,106
2017,2017,Feb,Pleasant Garden,Building,11
2017,2017,Feb,Pleasant Garden,Electrical,14
2017,2017,Feb,Pleasant Garden,Plumbing/Mechanical/Gas,21
2017,2017,Feb,PTIA,Building,1
2017,2017,Feb,PTIA,Electrical,5
2017,2017,Feb,PTIA,Other,2
2017,2017,Feb,Sedalia,Building,11
2017,2017,Feb,Sedalia,Electrical,4
2017,2017,Feb,Sedalia,Other,6
2017,2017,Feb,Sedalia,Plumbing/Mechanical/Gas,2
2017,2017,Feb,Stokesdale,Building,62
2017,2017,Feb,Stokesdale,Electrical,54
2017,2017,Feb,Stokesdale,Other,22
2017,2017,Feb,Stokesdale,Plumbing/Mechanical/Gas,63
2017,2017,Feb,Summerfield,Building,130
2017,2017,Feb,Summerfield,Electrical,76
2017,2017,Feb,Summerfield,Other,18
2017,2017,Feb,Summerfield,Plumbing/Mechanical/Gas,86
2017,2017,Feb,Whitsett,Building,5
2017,2017,Feb,Whitsett,Electrical,2
2017,2017,Feb,Whitsett,Plumbing/Mechanical/Gas,1
2017,2017,Mar,Guilford County,Building,649
2017,2017,Mar,Guilford County,Electrical,561
2017,2017,Mar,Guilford County,Other,314
2017,2017,Mar,Guilford County,Plumbing/Mechanical/Gas,613
2017,2017,Mar,Jamestown,Building,111
2017,2017,Mar,Jamestown,Electrical,68
2017,2017,Mar,Jamestown,Other,9
2017,2017,Mar,Jamestown,Plumbing/Mechanical/Gas,119
2017,2017,Mar,Oak Ridge,Building,72
2017,2017,Mar,Oak Ridge,Electrical,60
2017,2017,Mar,Oak Ridge,Other,4
2017,2017,Mar,Oak Ridge,Plumbing/Mechanical/Gas,71
2017,2017,Mar,Pleasant Garden,Building,22
2017,2017,Mar,Pleasant Garden,Electrical,30
2017,2017,Mar,Pleasant Garden,Plumbing/Mechanical/Gas,32
2017,2017,Mar,PTIA,Building,2
2017,2017,Mar,PTIA,Electrical,5
2017,2017,Mar,PTIA,Other,1
2017,2017,Mar,PTIA,Plumbing/Mechanical/Gas,2
2017,2017,Mar,Sedalia,Electrical,2
2017,2017,Mar,Sedalia,Plumbing/Mechanical/Gas,2
2017,2017,Mar,Stokesdale,Building,103
2017,2017,Mar,Stokesdale,Electrical,39
2017,2017,Mar,Stokesdale,Other,12
2017,2017,Mar,Stokesdale,Plumbing/Mechanical/Gas,56
2017,2017,Mar,Summerfield,Building,110
2017,2017,Mar,Summerfield,Electrical,74
2017,2017,Mar,Summerfield,Other,8
